2021-07-20 22:51:56: Simulating:
	fields : ['c']
	num_elem : 100
	N : 1000
	dt : 0.01
	D : 0.001
	alpha : 1
	tol : 1e-05
2021-07-20 22:52:24: Time: 571
2021-07-20 22:52:24: Time: 572
2021-07-20 22:52:24: Time: 573
2021-07-20 22:52:24: Time: 574
2021-07-20 22:52:24: Time: 575
2021-07-20 22:52:24: Time: 576
2021-07-20 22:52:24: Time: 577
2021-07-20 22:52:24: Time: 578
2021-07-20 22:52:24: Time: 579
2021-07-20 22:52:24: Time: 580
2021-07-20 22:52:24: Time: 581
2021-07-20 22:52:24: Time: 582
2021-07-20 22:52:24: Time: 583
2021-07-20 22:52:24: Time: 584
2021-07-20 22:52:25: Time: 585
2021-07-20 22:52:25: Time: 586
2021-07-20 22:52:25: Time: 587
2021-07-20 22:52:25: Time: 588
2021-07-20 22:52:25: Time: 589
2021-07-20 22:52:25: Time: 590
2021-07-20 22:52:25: Time: 591
2021-07-20 22:52:25: Time: 592
2021-07-20 22:52:25: Time: 593
2021-07-20 22:52:25: Time: 594
2021-07-20 22:52:25: Time: 595
2021-07-20 22:52:25: Time: 596
2021-07-20 22:52:25: Time: 597
2021-07-20 22:52:25: Time: 598
2021-07-20 22:52:25: Time: 599
2021-07-20 22:52:25: Time: 600
2021-07-20 22:52:25: Time: 601
2021-07-20 22:52:25: Time: 602
2021-07-20 22:52:25: Time: 603
2021-07-20 22:52:26: Time: 604
2021-07-20 22:52:26: Time: 605
2021-07-20 22:52:26: Time: 606
2021-07-20 22:52:26: Time: 607
2021-07-20 22:52:26: Time: 608
2021-07-20 22:52:26: Time: 609
2021-07-20 22:52:26: Time: 610
2021-07-20 22:52:26: Time: 611
2021-07-20 22:52:26: Time: 612
2021-07-20 22:52:26: Time: 613
2021-07-20 22:52:26: Time: 614
2021-07-20 22:52:26: Time: 615
2021-07-20 22:52:26: Time: 616
2021-07-20 22:52:26: Time: 617
2021-07-20 22:52:26: Time: 618
2021-07-20 22:52:26: Time: 619
2021-07-20 22:52:26: Time: 620
2021-07-20 22:52:26: Time: 621
2021-07-20 22:52:27: Time: 622
2021-07-20 22:52:27: Time: 623
2021-07-20 22:52:27: Time: 624
2021-07-20 22:52:27: Time: 625
2021-07-20 22:52:27: Time: 626
2021-07-20 22:52:27: Time: 627
2021-07-20 22:52:27: Time: 628
2021-07-20 22:52:27: Time: 629
2021-07-20 22:52:27: Time: 630
2021-07-20 22:52:27: Time: 631
2021-07-20 22:52:27: Time: 632
2021-07-20 22:52:27: Time: 633
2021-07-20 22:52:27: Time: 634
2021-07-20 22:52:27: Time: 635
2021-07-20 22:52:27: Time: 636
2021-07-20 22:52:27: Time: 637
2021-07-20 22:52:27: Time: 638
2021-07-20 22:52:27: Time: 639
2021-07-20 22:52:28: Time: 640
2021-07-20 22:52:28: Time: 641
2021-07-20 22:52:28: Time: 642
2021-07-20 22:52:28: Time: 643
2021-07-20 22:52:28: Time: 644
2021-07-20 22:52:28: Time: 645
2021-07-20 22:52:28: Time: 646
2021-07-20 22:52:28: Time: 647
2021-07-20 22:52:28: Time: 648
2021-07-20 22:52:28: Time: 649
2021-07-20 22:52:28: Time: 650
2021-07-20 22:52:28: Time: 651
2021-07-20 22:52:28: Time: 652
2021-07-20 22:52:28: Time: 653
2021-07-20 22:52:28: Time: 654
2021-07-20 22:52:28: Time: 655
2021-07-20 22:52:28: Time: 656
2021-07-20 22:52:28: Time: 657
2021-07-20 22:52:29: Time: 658
2021-07-20 22:52:29: Time: 659
2021-07-20 22:52:29: Time: 660
2021-07-20 22:52:29: Time: 661
2021-07-20 22:52:29: Time: 662
2021-07-20 22:52:29: Time: 663
2021-07-20 22:52:29: Time: 664
2021-07-20 22:52:29: Time: 665
2021-07-20 22:52:29: Time: 666
2021-07-20 22:52:29: Time: 667
2021-07-20 22:52:29: Time: 668
2021-07-20 22:52:29: Time: 669
2021-07-20 22:52:29: Time: 670
2021-07-20 22:52:29: Time: 671
2021-07-20 22:52:29: Time: 672
2021-07-20 22:52:29: Time: 673
2021-07-20 22:52:29: Time: 674
